Rank,Name,Country,Inns,Not out,BattingAverage,run_against,total_out,others_avg,Norm_avg,ROO Score
450,Innocent Kaia,Zimbabwe,4,0,43,3057,92,33.23,9.77,39.09
451,Len Baichan,West Indies,6,2,46,4504,124,36.32,9.68,38.71
452,Robert Samuels,West Indies,12,2,37.2,6367,191,33.34,3.86,38.65
453,Omar Phillips,West Indies,4,0,40,3145,103,30.53,9.47,37.86
454,Roy Dias,Sri Lanka,36,1,36.71,17283,485,35.64,1.07,37.62
455,Bj Watling,New Zealand,117,16,37.52,68427,1842,37.15,0.37,37.55
456,Barry Shepherd,Australia,14,2,41.83,10186,263,38.73,3.10,37.20
457,Peter Toohey,Australia,29,1,31.89,12630,413,30.58,1.31,36.65
458,Carlos Brathwaite,West Indies,5,1,45.25,3970,110,36.09,9.16,36.64
459,Kamran Ghulam,Pakistan,9,0,30.77,3424,128,26.75,4.02,36.18
460,Cyril Poole,England,5,1,40.25,3680,117,31.45,8.80,35.19
461,Ismat Alam,Afghanistan,2,0,50.5,1725,52,33.17,17.33,34.65
462,Luke Ronchi,New Zealand,8,0,39.87,5405,152,35.56,4.31,34.49
463,Aftab Baloch,Pakistan,3,1,48.5,3211,100,32.11,16.39,32.78
464,Tagenarine Chanderpaul,West Indies,19,2,32.94,9246,298,31.03,1.91,32.52
465,Bob Woolmer,England,34,2,33.09,15946,497,32.08,1.01,32.18
466,Ken Hough,New Zealand,3,2,62,2597,87,29.85,32.15,32.15
467,Craig Ervine,Zimbabwe,46,3,37.16,19485,535,36.42,0.74,31.80
468,Hanuma Vihari,India,28,3,33.56,13799,427,32.32,1.24,31.10
469,George Thompson,England,10,1,30.33,5431,202,26.89,3.44,30.99
470,Senuran Muthusamy,South Africa,7,3,43.25,5048,142,35.55,7.70,30.80
471,Nip Pellew,Australia,14,1,37.23,9693,278,34.87,2.36,30.72
472,William Bruce,Australia,26,2,29.25,10219,365,28.00,1.25,30.07
473,Abdul Kadir,Pakistan,8,0,34,4719,156,30.25,3.75,30.00
474,Zulqarnain Haider,Pakistan,2,0,44,2292,79,29.01,14.99,29.97
475,Stephen Cook,South Africa,19,0,33.26,9168,289,31.72,1.54,29.20
476,Ronnie Grieveson,South Africa,2,0,57,4116,97,42.43,14.57,29.13
477,Joe Burns,Australia,40,1,36.97,20549,567,36.24,0.73,28.41
478,Bruce Laird,Australia,40,2,35.28,17338,502,34.54,0.74,28.20
479,Charles Wright,England,4,0,31.25,2929,121,24.21,7.04,28.17
480,John Benaud,Australia,5,0,44.6,4721,121,39.02,5.58,27.92
481,Imam Ul Haq,Pakistan,46,4,37.33,23768,648,36.68,0.65,27.34
482,Charlie Barnett,England,35,4,35.41,17783,515,34.53,0.88,27.28
483,Graeme Fowler,England,37,0,35.32,17675,511,34.59,0.73,27.05
484,Basil Williams,West Indies,12,0,39.08,7527,204,36.90,2.18,26.20
485,David Bernard,West Indies,6,1,40.4,4646,132,35.20,5.20,26.02
486,Sikandar Raza,Zimbabwe,35,0,36.74,15448,429,36.01,0.73,25.57
487,Wajahatullah Wasti,Pakistan,10,1,36.55,5902,175,33.73,2.82,25.42
488,Jeff Moss,Australia,2,1,60,2633,76,34.64,25.36,25.36
489,Arjuna Ranatunga,Sri Lanka,155,12,35.69,73764,2077,35.51,0.18,25.07
490,Pankaj Roy,India,79,4,32.56,30777,955,32.23,0.33,24.96
491,Glenn Phillips,New Zealand,27,5,33.09,13582,425,31.96,1.13,24.91
492,Jack Worrall,Australia,22,3,25.15,7265,304,23.90,1.25,23.79
493,Sammy Jones,Australia,24,4,21.4,6787,335,20.26,1.14,22.81
494,Albie Morkel,South Africa,1,0,58,2658,74,35.92,22.08,22.08
495,Yuvraj Of Patiala,India,2,0,42,2415,78,30.96,11.04,22.08
496,Saqib Mahmood,England,2,1,52,3090,102,30.29,21.71,21.71
497,William Chatterton,England,1,0,48,1943,73,26.62,21.38,21.38
498,Buddy Oldfield,England,2,0,49.5,2725,70,38.93,10.57,21.14
499,Bruce Edgar,New Zealand,68,4,30.59,26911,889,30.27,0.32,20.41
500,Tom Blundell,New Zealand,69,7,34.48,35625,1043,34.16,0.32,20.07
501,Jack Gregory,Australia,34,3,36.96,21032,579,36.32,0.64,19.69
502,Peter Walker,England,4,0,32,3385,125,27.08,4.92,19.68
503,Frank Penn,England,2,1,50,2428,77,31.53,18.47,18.47
504,John Nicolson,South Africa,5,0,35.8,4046,126,32.11,3.69,18.44
505,Don Taylor,New Zealand,5,0,31.8,3245,115,28.22,3.58,17.91
506,Rassie Van Der Dussen,South Africa,32,2,30.16,14345,485,29.58,0.58,17.48
507,Cyril Francois,South Africa,9,1,31.5,5106,174,29.34,2.16,17.24
508,Anthony Mcgrath,England,5,0,40.2,5041,137,36.80,3.40,17.02
509,Herb Mcgirr,New Zealand,1,0,51,2854,83,34.39,16.61,16.61
510,Mick Malone,Australia,1,0,46,2140,72,29.72,16.28,16.28
511,Basil Grieve,England,3,2,40,2340,98,23.88,16.12,16.12
512,Wilfred Rhodes,England,98,21,30.19,42491,1417,29.99,0.20,15.66
513,Devang Gandhi,India,7,1,34,5498,175,31.42,2.58,15.50
514,Bernard Tancred,South Africa,4,1,29,2265,95,23.84,5.16,15.47
515,Tup Scott,Australia,14,1,27.61,5839,221,26.42,1.19,15.46
516,Fakhar Zaman,Pakistan,6,0,32,3748,127,29.51,2.49,14.93
517,Michael Vandort,Sri Lanka,33,2,36.9,18838,517,36.44,0.46,14.35
518,Haroon Rasheed,Pakistan,36,1,34.77,18662,543,34.37,0.40,14.06
519,Joseph Vine,England,3,2,46,3313,101,32.80,13.20,13.20
520,Ted Bowley,England,7,0,36,4990,146,34.18,1.82,12.75
521,Charlie Hallows,England,2,1,42,2698,90,29.98,12.02,12.02
522,Zander De Bruyn,South Africa,5,1,38.75,4405,123,35.81,2.94,11.75
523,Azmat Rana,Pakistan,1,0,49,2651,71,37.34,11.66,11.66
524,Hardik Pandya,India,18,1,31.29,9530,311,30.64,0.65,11.00
525,James Cameron Dow,Ireland,2,1,41,2405,79,30.44,10.56,10.56
526,Ashton Agar,Australia,7,1,32.5,5524,179,30.86,1.64,9.84
527,Alec Bannerman,Australia,50,2,23.08,15420,674,22.88,0.20,9.68
528,Ivor Mendonca,West Indies,2,0,40.5,3555,99,35.91,4.59,9.18
529,John Beck,New Zealand,15,0,26.26,6008,234,25.68,0.58,8.77
530,Joe Solomon,West Indies,46,7,34,23410,693,33.78,0.22,8.55
531,Sanjeeva Ranatunga,Sri Lanka,17,1,33.18,8130,249,32.65,0.53,8.47
532,John Watkins,Australia,2,1,39,2478,81,30.59,8.41,8.41
533,Keegan Petersen,South Africa,25,0,28.16,10323,371,27.82,0.34,8.38
534,Jack Barrett,Australia,4,1,26.66,2479,103,24.07,2.59,7.78
535,Gul Mohammad,Pakistan,2,1,39,7182,230,31.23,7.77,7.77
536,Jack Iddon,England,7,1,28.33,4434,164,27.04,1.29,7.76
537,Frank Sugg,England,2,0,27.5,2205,93,23.71,3.79,7.58
538,Kenneth Rickards,West Indies,3,0,34.66,3293,102,32.28,2.38,7.13
539,Albert Hartkopf,Australia,2,0,40,2966,81,36.62,3.38,6.77
540,Frank Hearne,England,2,0,23.5,3689,179,20.61,2.89,5.78
541,John King,England,2,0,32,2228,76,29.32,2.68,5.37
542,Charles Passailaigue,West Indies,2,1,46,3236,79,40.96,5.04,5.04
543,Carlisle Best,West Indies,13,1,28.5,7105,253,28.08,0.42,5.00
544,Milinda Siriwardana,Sri Lanka,9,0,33.11,5832,179,32.58,0.53,4.76
545,Charlie Absolom,England,2,0,29,2054,77,26.68,2.32,4.65
546,Clayton Lambert,West Indies,9,0,31.55,5199,167,31.13,0.42,3.76
547,Tim Murtagh,Ireland,6,2,27.25,3486,132,26.41,0.84,3.36
548,Alfred Archer,England,2,1,31,2235,80,27.94,3.06,3.06
549,Tanvir Ahmed,Pakistan,7,2,34,6013,180,33.41,0.59,2.97
550,Ramiz Raja,Pakistan,94,5,31.83,39525,1243,31.80,0.03,2.84
551,Leslie Walcott,West Indies,2,1,40,2930,78,37.56,2.44,2.44
552,Rikki Clarke,England,3,0,32,3169,101,31.38,0.62,1.87
553,Antao D Souza,Pakistan,10,8,38,7051,190,37.11,0.89,1.78
554,Martin Horton,England,2,0,30,2854,98,29.12,0.88,1.76
555,Billy Gunn,England,20,2,21.77,6703,309,21.69,0.08,1.39
556,Yasir Arafat,Pakistan,3,1,47,5059,109,46.41,0.59,1.17
557,Lord Harris,England,6,1,29,3944,137,28.79,0.21,1.06
