X,Y,Curve,Radius
740167.62,3008545.975,0,25
740159.4682,3008540.393,0,25
740151.3478,3008534.82,0,33.33333333
740143.2208,3008529.234,0,100
740134.9431,3008523.543,0,33.33333333
740126.7513,3008517.922,0,20
740118.5036,3008512.27,0,20
740110.1746,3008506.563,0,25
740102.0044,3008500.953,0,100
740093.8059,3008495.316,0,33.33333333
740085.5634,3008489.651,0,14.28571429
740077.3462,3008484.059,0,7.692307692
740069.025,3008478.409,0,5.263157895
740060.5917,3008472.713,0,3.846153846
740052.2711,3008467.188,0,2.857142857
740043.8525,3008461.603,0,2.272727273
740035.3865,3008456.108,0,1.754385965
740027.0596,3008450.751,1,1.351351351
740018.6954,3008445.425,1,1.123595506
740010.2242,3008440.152,1,1.01010101
740001.9202,3008434.995,1,0.970873786
739993.289,3008429.943,1,0.952380952
739984.7917,3008425.039,1,0.925925926
739976.2709,3008420.223,1,0.877192982
739967.5158,3008415.527,1,0.81300813
739958.9511,3008410.934,1,0.729927007
739950.1505,3008406.436,1,0.662251656
739941.3482,3008402.076,1,0.632911392
739932.5368,3008397.726,1,0.653594771
739923.4475,3008393.704,1,0.714285714
739914.3816,3008389.798,1,0.806451613
739905.2712,3008385.89,1,0.909090909
739896.2304,3008382.122,1,1.01010101
739887.1126,3008378.339,1,1.123595506
739878.03,3008374.63,1,1.298701299
739868.7869,3008371.074,0,1.639344262
739859.4911,3008367.519,0,2.272727273
739850.2702,3008364.041,0,3.333333333
739840.8076,3008360.607,0,4.545454545
739831.4305,3008357.208,0,5.263157895
739822.0176,3008353.813,0,5.555555556
739812.5352,3008350.427,0,6.666666667
739803.1434,3008347.073,0,11.11111111
739793.7414,3008343.627,0,50
739784.5667,3008340.118,0,16.66666667
739775.3053,3008336.577,0,7.142857143
739765.9804,3008332.838,0,5.263157895
739756.6718,3008328.917,0,4.545454545
739747.2462,3008324.946,0,4.347826087
739737.9038,3008321.138,0,4.347826087
739728.4771,3008317.376,0,4.761904762
739719.0259,3008313.605,0,6.666666667
739709.5859,3008309.711,0,20
739700.0049,3008305.727,0,14.28571429
739690.5374,3008301.817,0,5.882352941
739681.113,3008298.096,0,4.166666667
739671.6879,3008294.402,0,3.225806452
739662.2688,3008290.709,0,2.43902439
739652.8261,3008287.009,0,1.754385965
739643.1855,3008283.231,1,1.388888889
739633.7737,3008279.832,1,1.333333333
739624.2255,3008276.557,0,1.923076923
739614.4338,3008273.216,0,7.692307692
739604.3083,3008269.805,0,4.761904762
739594.313,3008266.269,0,3.448275862
739584.6196,3008262.767,0,10
739574.3791,3008258.941,0,7.692307692
739564.4799,3008255.413,0,9.090909091
739556.5819,3008252.579,0,16.66666667
739547.8263,3008250.573,0,5.263157895
739538.3685,3008249.811,0,3.571428571
739528.4463,3008246.084,0,10
739519.4978,3008243.023,0,3.448275862
739510.3461,3008239.29,0,2.127659574
739501.2577,3008235.567,0,5.882352941
739492.43,3008232.155,0,3.03030303
739483.6426,3008229.017,0,1.923076923
739474.9167,3008225.926,0,2.777777778
739465.6807,3008222.503,0,16.66666667
739456.8365,3008219.225,0,5
